Company Name,Country,City,Address,Phone,Emails,Domain
D & E MARKETING (M) SDN BHD,,,,,"info@muarfurniture.org, dnemrkt@streamyx.com","https://welcome.muarfurniture.org/en/d-e-marketing-m-sdn-bhd-mfad1, https://www.malaysiadata.com/company/yqqgmk/d-e-marketing-m-sdn-bhd, https://m.newpages.com.my/en/company/223431/D_E_Marketing_(M)_Sdn_Bhd.html, https://my.soopage.com/company/D-E-MARKETING-M-SDN-BHD_sA.html, https://www.businesslist.my/company/54447/de-marketing-m-sdn-bhd, https://www.businesslist.my/company/84011/de-marketing-m-sdn-bhd, https://malaysia.bizin.asia/eng/d-e-marketing-m-sdn-bhd-1772, https://www.hotfrog.com.my/company/1100242238963712, https://www.zoominfo.com/c/d-e-marketing/547111216, https://businessreport.ctoscredit.com.my/oneoffreport_api/single-report/malaysia-company/0220058M/A-D-DIGITAL-MARKETING-M-SDN-BHD-"
ELLESIME SDN BHD,,,,"+60-12-275-9890, +60-12-275-9890, +60-12-275-9890, +60-12-275-9890, +60-12-275-9890, +60-12-275-9890","info@muarfurniture.org, officemanager@ellesime.com.my","https://welcome.muarfurniture.org/en/ellesime-sdn-bhd-mfae26, https://ellesime.business.site/?utm_source=gmb&utm_medium=referral, https://ellesime.business.site/, https://importkey.com/i/ellesime-sdn-bhd, https://www.importyeti.com/supplier/ellesime, https://www.jobstreet.com.my/ellesime-sdn-bhd-jobs, https://www.facebook.com/shiva.khadka.1650/, https://my.linkedin.com/in/nur-annisa-ngahadi-05b87a144, https://www.glassdoor.com/Job/muar-executive-assistant-jobs-SRCH_IL.0,4_IC2999258_KO5,24.htm, https://www.glassdoor.com/Job/tangkak-manufacturing-jobs-SRCH_IL.0,7_IC2998055_KO8,21.htm"
PEACOCK Wood,,,,,,"https://mrpeacockswood.com/, https://mrpeacockswood.com/collections/all, https://mrpeacockswood.com/collections/christmas-wood-blanks, https://mrpeacockswood.com/collections/the-basics, https://mrpeacockswood.com/collections/spring-cutouts, https://www.facebook.com/mrpeacock/, https://www.facebook.com/groups/203095238358198/posts/336727088328345/, https://www.pinterest.com/mrpeacockwoodcutouts/, https://www.pinterest.com/lubnashaukat/peacock-wood-carving/, https://www.etsy.com/market/peacock_wood_cut_out, https://www.etsy.com/market/wood_peacock, https://www.youtube.com/watch?v=Cl_wjnqO7vQ, https://www.youtube.com/watch?v=Cl_wjnqO7vQ"
@ Architect UK Ltd,,,,,"clientservices@riba.org, info@riba.org","https://www.architect.ltd.uk/, https://www.architect.ltd.uk/vacancies/, https://www.architect.ltd.uk/contact-us/, https://www.architect.ltd.uk/meet-the-team/, https://www.architect.ltd.uk/category/architect-uk-ltd/, https://uk.linkedin.com/company/-architect, https://find-and-update.company-information.service.gov.uk/company/08034653, https://www.instagram.com/architectukltd/?hl=en, https://www.houzz.co.uk/pro/architect-uk_ltd, https://twitter.com/architect_ltd?lang=en, https://find-an-architect.architecture.com/-architect-uk-ltd/brentwood, https://www.yell.com/biz/architect-uk-ltd-brentwood-4547687/"
10 Europe Limited,,,,,support@addressadda.com,"https://find-and-update.company-information.service.gov.uk/company/SC398826, https://find-and-update.company-information.service.gov.uk/company/SC398826/officers, https://uk.globaldatabase.com/company/10-europe-limited, https://suite.endole.co.uk/insight/company/SC398826-10-europe-limited, http://endole.co.uk/products/insight, http://suite.endole.co.uk/explorer/postcode/eh2, http://suite.endole.co.uk/explorer/postcode/eh2-4ah, http://companycheck.co.uk/company/SC398826/10-EUROPE-LIMITED, https://youcontrol.com.ua/en/catalog/gb-card/sc398826/, https://www.ltdcompanyinfo.co.uk/company/SC398826-10-europe-limited, https://www.192.com/atoz/business/edinburgh-eh2/architectural-services/10-europe-limited/c64e11b881235a4cf74ed5497ad6c7625cd3a2de/comp/, https://www.companiesintheuk.co.uk/ltd/10-europe, https://www.addressadda.com/united-kingdom/company/1/10-europe-limited-SC398826.php"
10architect Ltd,,,,,,"https://www.10architect.com/, https://www.10architect.com/jobs/job-opportunities/, https://www.10architect.com/contact/, https://www.10architect.com/10architect-healthcare/, https://www.10architect.com/author/alan-simpson/, https://www.10architect.com/, https://uk.linkedin.com/company/10architect, https://find-and-update.company-information.service.gov.uk/company/09999140, https://www.instagram.com/10architect/?hl=en, https://www.dnb.com/business-directory/company-profiles.10architect_limited.8d4ffee19b971726a2d7c15b2e7129ea.html, https://uk.globaldatabase.com/company/10architect-healthcare-ltd, https://www.zoominfo.com/c/10architect/466174936, https://newsnowgh.com/10-architect-limited-jobs-in-manchester-england-with-visa-sponsorship/"
1313 Global Limited,,,,,,"https://www.1313global.com/, https://uk.linkedin.com/company/1313-global-limited, https://www.dnb.com/business-directory/company-profiles.1313_global_limited.2e3991674796f176087daaf55a1fc607.html, https://find-and-update.company-information.service.gov.uk/company/07703132, https://rocketreach.co/1313-global-limited-profile_b4520ae2fc8ab1ab, https://www.zoominfo.com/c/global-limited-company/359003138, https://www.europages.co.uk/1313-GLOBAL-LIMITED/00000005390605-710824001.html, https://www.mobilesources.net/1313global/, https://uk.globaldatabase.com/company/1313-global-limited, https://www.signalhire.com/companies/1313-global-limited"
168 EXPRESS LTD,,,,,"info@168express.co.uk, info@mysite.com, info@168express.co.uk, hr@168express.co.uk, info@168express.co.uk","https://www.168express.co.uk/, https://www.168express.co.uk/copy-of-contact-%E8%81%94%E7%B3%BB, https://www.168express.co.uk/copy-of-join-us-%E5%8A%A0%E5%85%A5%E6%88%91%E4%BB%AC, https://find-and-update.company-information.service.gov.uk/company/09184897, http://www.168express.co.uk/, https://find-and-update.company-information.service.gov.uk/company/09184897/officers, https://www.dnb.com/business-directory/company-profiles.168_express_ltd.4660e6374e38e80fbcda7769de96c247.html, https://uk.linkedin.com/company/168-express-limited, https://www.glassdoor.com/Overview/Working-at-168-Express-EI_IE3267137.11,22.htm, https://youcontrol.com.ua/en/catalog/gb-card/09184897/, https://www.zoominfo.com/c/168-express/477784836, https://www.uktradeinfo.com/traders/168-express-ltd-222778?senderQueryString=commodities%3D080450"
168 H.K.R. Inter Trading,,,,0953748973,"credendata@creden.co, credendata@creden.co","https://www.matchlink.asia/business/page/Thailand/PATHUMTHANI/94094-168-h-k-r-intertrading-co-ltd.html, https://www.ltddir.com/companies/168-international-trading-limited/, https://www.bloomberg.com/profile/company/HRKIF:US, https://www.reuters.com/markets/companies/0480.HK, https://opencorporates.com/companies/th/0135554011429, https://data.creden.co/company/general/0135554011429, https://www.spglobal.com/marketintelligence/en/news-insights/trending/8jb_cjuqjes9q4u97xhavw2, https://www.marketwatch.com/investing/stock/480/company-profile?countrycode=hk&pid=227259903, https://markets.ft.com/data/equities/tearsheet/profile?s=480:HKG, https://www.marketscreener.com/quote/stock/HKR-INTERNATIONAL-LIMITED-50911248/finances/"
168 Timber,,,,", , 6787918956","janellcarter@compass.com, janellcarter@compass.com","https://www.zillow.com/homedetails/168-Timber-Gate-Dr-Lawrenceville-GA-30045/60831314_zpid/, https://www.zillow.com/homedetails/168-Timber-Creek-Ln-SW-Marietta-GA-30060/14291178_zpid/, https://www.compass.com/listing/168-timber-gate-drive-lawrenceville-ga-30045/1218098167040264897/, https://www.coldwellbankerhomes.com/ga/lawrenceville/168-timber-gate-dr/pid_51136574/, https://www.realty.com/home-listings/340559315/168-Timber-Gate-Drive-Lawrenceville-GA-30045, https://www.youtube.com/watch?v=yghZC4IOAY0, https://www.youtube.com/watch?v=yghZC4IOAY0, https://www.redfin.com/GA/Lawrenceville/168-Timber-Gate-Dr-30045/home/25088044, https://www.movoto.com/lawrenceville-ga/168-timber-gate-dr-lawrenceville-ga-30045/pid_8pan6lgmbh/, https://www.realtor.com/realestateandhomes-detail/166-168-Tall-Timber-Ct_Lawrenceville_GA_30046_M55862-04621"
